"Notes"	"Year"	"Year Code"	"State"	"State Code"	Count	Percent of Total	Rate	Population	Completion of Therapy Within One Year	Eligible for Completion of Therapy Within One Year	Percent of Completion of Therapy Within One Year Among Those Eligible	Culture-Confirmed Cases	Percentage Tested for Drug Susceptibility to Isoniazid	Percentage Tested for Drug Susceptibility to Isoniazid & Rifampin
	"2009"	"2009"	"Connecticut"	"09"	95	0.03%	2.67	3561807	70	79	88.61%	78	100.00%	100.00%
	"2009"	"2009"	"Delaware"	"10"	19	0.01%	2.13	891730	13	16	81.25%	14	100.00%	100.00%
	"2009"	"2009"	"District of Columbia"	"11"	41	0.01%	6.92	592228	26	32	81.25%	36	100.00%	100.00%
	"2009"	"2009"	"Florida"	"12"	822	0.25%	4.41	18652644	642	689	93.18%	640	96.09%	96.09%
	"2009"	"2009"	"Georgia"	"13"	411	0.12%	4.27	9620846	286	336	85.12%	296	95.95%	96.28%
	"2009"	"2009"	"Hawaii"	"15"	117	0.04%	8.69	1346717	77	92	83.70%	95	100.00%	100.00%
	"2009"	"2009"	"Idaho"	"16"	18	0.01%	1.16	1554439	15	16	93.75%	13	100.00%	100.00%
	"2009"	"2009"	"Illinois"	"17"	418	0.13%	3.27	12796778	306	340	90.00%	330	96.36%	96.97%
	"2009"	"2009"	"Indiana"	"18"	119	0.04%	1.84	6459325	91	100	91.00%	97	100.00%	100.00%
	"2009"	"2009"	"Iowa"	"19"	42	0.01%	1.38	3032870	34	39	87.18%	33	96.97%	96.97%
	"2009"	"2009"	"Kansas"	"20"	64	0.02%	2.26	2832704	56	56	100.00%	46	100.00%	100.00%
	"2009"	"2009"	"Kentucky"	"21"	75	0.02%	1.74	4317074	54	59	91.53%	58	94.83%	94.83%
	"2009"	"2009"	"Louisiana"	"22"	194	0.06%	4.32	4491648	144	162	88.89%	157	92.99%	92.99%
	"2009"	"2009"	"Maine"	"23"	9	0.00%	0.68	1329590	7	7	100.00%	6	83.33%	83.33%
	"2009"	"2009"	"Maryland"	"24"	218	0.07%	3.80	5730388	162	180	90.00%	174	99.43%	99.43%
	"2009"	"2009"	"Massachusetts"	"25"	242	0.07%	3.71	6517613	176	212	83.02%	181	97.79%	97.79%
	"2009"	"2009"	"Michigan"	"26"	144	0.04%	1.45	9901591	100	114	87.72%	112	99.11%	99.11%
	"2009"	"2009"	"Minnesota"	"27"	161	0.05%	3.05	5281203	124	133	93.23%	121	99.17%	99.17%
	"2009"	"2009"	"Mississippi"	"28"	121	0.04%	4.09	2958774	92	104	88.46%	83	100.00%	100.00%
	"2009"	"2009"	"Missouri"	"29"	79	0.02%	1.33	5961088	63	72	87.50%	67	65.67%	70.15%
	"2009"	"2009"	"Montana"	"30"	8	0.00%	0.81	983982	7	7	100.00%	3	100.00%	100.00%
	"2009"	"2009"	"Nebraska"	"31"	32	0.01%	1.77	1812683	24	28	85.71%	21	100.00%	100.00%
	"2009"	"2009"	"Nevada"	"32"	106	0.03%	3.95	2684665	81	91	89.01%	72	100.00%	100.00%
	"2009"	"2009"	"New Hampshire"	"33"	16	0.00%	1.22	1316102	13	13	100.00%	14	100.00%	100.00%
	"2009"	"2009"	"New Jersey"	"34"	405	0.12%	4.63	8755602	314	337	93.18%	306	97.39%	97.39%
	"2009"	"2009"	"New Mexico"	"35"	48	0.01%	2.36	2036802	29	31	93.55%	46	100.00%	100.00%
	"2009"	"2009"	"New York"	"36"	1002	0.30%	5.19	19307066	749	826	90.68%	718	98.89%	98.89%
	"2009"	"2009"	"North Carolina"	"37"	250	0.08%	2.65	9449566	202	215	93.95%	198	96.46%	98.48%
	"2009"	"2009"	"North Dakota"	"38"	5	0.00%	0.75	664968	2	3	66.67%	3	100.00%	100.00%
	"2009"	"2009"	"Ohio"	"39"	180	0.05%	1.56	11528896	130	142	91.55%	154	100.00%	100.00%
	"2009"	"2009"	"Oklahoma"	"40"	102	0.03%	2.74	3717572	74	85	87.06%	60	95.00%	95.00%
	"2009"	"2009"	"Oregon"	"41"	89	0.03%	2.34	3808600	73	75	97.33%	67	100.00%	100.00%
	"2009"	"2009"	"Pennsylvania"	"42"	236	0.07%	1.86	12666858	162	195	83.08%	180	98.33%	98.33%
	"2009"	"2009"	"Rhode Island"	"44"	24	0.01%	2.28	1053646	19	21	90.48%	17	100.00%	100.00%
	"2009"	"2009"	"South Carolina"	"45"	164	0.05%	3.57	4589872	124	134	92.54%	114	95.61%	95.61%
	"2009"	"2009"	"South Dakota"	"46"	18	0.01%	2.23	807067	15	16	93.75%	14	100.00%	100.00%
	"2009"	"2009"	"Tennessee"	"47"	202	0.06%	3.20	6306019	163	173	94.22%	134	97.76%	97.76%
	"2009"	"2009"	"Texas"	"48"	1494	0.45%	6.02	24801761	1061	1187	89.39%	1155	98.18%	98.36%
	"2009"	"2009"	"Utah"	"49"	37	0.01%	1.36	2723421	26	26	100.00%	29	100.00%	100.00%
	"2009"	"2009"	"Vermont"	"50"	6	0.00%	0.96	624817	4	5	80.00%	4	100.00%	100.00%
	"2009"	"2009"	"Virginia"	"51"	271	0.08%	3.42	7925937	209	238	87.82%	207	98.07%	98.07%
	"2009"	"2009"	"Washington"	"53"	256	0.08%	3.84	6667426	206	219	94.06%	207	99.03%	99.03%
	"2009"	"2009"	"West Virginia"	"54"	19	0.01%	1.03	1847775	11	15	73.33%	18	100.00%	100.00%
	"2009"	"2009"	"Wisconsin"	"55"	67	0.02%	1.18	5669264	46	55	83.64%	61	100.00%	100.00%
	"2009"	"2009"	"Wyoming"	"56"	2	0.00%	0.36	559851	1	2	50.00%	2	100.00%	100.00%
"Total"	"2009"	"2009"			11519	3.47%	3.75	306771529	8453	9527	88.73%	8882	97.66%	97.79%
	"2008"	"2008"	"Alabama"	"01"	176	0.05%	3.73	4718206	134	148	90.54%	150	96.00%	96.67%
	"2008"	"2008"	"Alaska"	"02"	50	0.02%	7.27	687455	40	45	88.89%	45	100.00%	100.00%
	"2008"	"2008"	"Arizona"	"04"	227	0.07%	3.61	6280362	136	187	72.73%	159	96.23%	96.23%
	"2008"	"2008"	"Arkansas"	"05"	83	0.02%	2.89	2874554	58	73	79.45%	67	100.00%	100.00%
	"2008"	"2008"	"California"	"06"	2699	0.81%	7.37	36604337	1971	2328	84.66%	2162	98.75%	98.80%
	"2008"	"2008"	"Colorado"	"08"	103	0.03%	2.11	4889730	85	92	92.39%	66	100.00%	100.00%
	"2008"	"2008"	"Connecticut"	"09"	98	0.03%	2.76	3545579	79	86	91.86%	84	100.00%	100.00%
	"2008"	"2008"	"Delaware"	"10"	23	0.01%	2.60	883874	18	21	85.71%	16	100.00%	100.00%
	"2008"	"2008"	"District of Columbia"	"11"	54	0.02%	9.31	580236	39	49	79.59%	44	100.00%	100.00%
	"2008"	"2008"	"Florida"	"12"	957	0.29%	5.17	18527305	727	803	90.54%	768	97.01%	97.14%
	"2008"	"2008"	"Georgia"	"13"	476	0.14%	5.01	9504843	358	405	88.40%	354	98.31%	98.31%
	"2008"	"2008"	"Hawaii"	"15"	124	0.04%	9.31	1332213	89	113	78.76%	99	100.00%	100.00%
	"2008"	"2008"	"Idaho"	"16"	11	0.00%	0.72	1534320	10	11	90.91%	9	100.00%	100.00%
	"2008"	"2008"	"Illinois"	"17"	466	0.14%	3.66	12747038	337	382	88.22%	366	96.17%	98.09%
	"2008"	"2008"	"Indiana"	"18"	118	0.04%	1.84	6424806	91	99	91.92%	97	96.91%	96.91%
	"2008"	"2008"	"Iowa"	"19"	49	0.01%	1.62	3016734	41	44	93.18%	39	100.00%	100.00%
	"2008"	"2008"	"Kansas"	"20"	57	0.02%	2.03	2808076	50	54	92.59%	44	97.73%	97.73%
	"2008"	"2008"	"Kentucky"	"21"	101	0.03%	2.35	4289878	71	85	83.53%	83	97.59%	97.59%
	"2008"	"2008"	"Louisiana"	"22"	227	0.07%	5.12	4435586	165	209	78.95%	186	94.62%	94.62%
	"2008"	"2008"	"Maine"	"23"	9	0.00%	0.68	1330509	7	8	87.50%	6	100.00%	100.00%
	"2008"	"2008"	"Maryland"	"24"	278	0.08%	4.89	5684965	210	235	89.36%	218	100.00%	100.00%
	"2008"	"2008"	"Massachusetts"	"25"	261	0.08%	4.03	6468967	188	228	82.46%	198	96.97%	97.98%
	"2008"	"2008"	"Michigan"	"26"	188	0.06%	1.89	9946889	119	144	82.64%	160	98.12%	98.12%
	"2008"	"2008"	"Minnesota"	"27"	211	0.06%	4.02	5247018	177	190	93.16%	149	100.00%	100.00%
	"2008"	"2008"	"Mississippi"	"28"	117	0.04%	3.97	2947806	85	91	93.41%	86	98.84%	98.84%
	"2008"	"2008"	"Missouri"	"29"	107	0.03%	1.81	5923916	84	96	87.50%	86	100.00%	100.00%
	"2008"	"2008"	"Montana"	"30"	9	0.00%	0.92	976415	4	4	100.00%	8	100.00%	100.00%
	"2008"	"2008"	"Nebraska"	"31"	33	0.01%	1.84	1796378	24	30	80.00%	26	96.15%	96.15%
	"2008"	"2008"	"Nevada"	"32"	102	0.03%	3.84	2653630	71	83	85.54%	69	97.10%	97.10%
	"2008"	"2008"	"New Hampshire"	"33"	19	0.01%	1.44	1315906	13	16	81.25%	15	100.00%	100.00%
	"2008"	"2008"	"New Jersey"	"34"	422	0.13%	4.84	8711090	314	353	88.95%	323	99.07%	99.07%
	"2008"	"2008"	"New Mexico"	"35"	59	0.02%	2.93	2010662	40	43	93.02%	49	97.96%	97.96%
	"2008"	"2008"	"New York"	"36"	1190	0.36%	6.19	19212436	901	1018	88.51%	905	97.68%	98.12%
	"2008"	"2008"	"North Carolina"	"37"	335	0.10%	3.60	9309449	269	293	91.81%	249	99.60%	99.60%
	"2008"	"2008"	"North Dakota"	"38"	3	0.00%	0.46	657569	1	2	50.00%	2	100.00%	100.00%
	"2008"	"2008"	"Ohio"	"39"	213	0.06%	1.85	11515391	155	180	86.11%	157	98.73%	98.73%
	"2008"	"2008"	"Oklahoma"	"40"	100	0.03%	2.73	3668976	65	84	77.38%	81	96.30%	96.30%
	"2008"	"2008"	"Oregon"	"41"	75	0.02%	1.99	3768748	67	69	97.10%	67	100.00%	100.00%
	"2008"	"2008"	"Pennsylvania"	"42"	387	0.12%	3.07	12612285	273	325	84.00%	266	96.99%	97.37%
	"2008"	"2008"	"Rhode Island"	"44"	36	0.01%	3.41	1055003	29	32	90.62%	23	100.00%	100.00%
	"2008"	"2008"	"South Carolina"	"45"	188	0.06%	4.15	4528996	135	155	87.10%	133	97.74%	97.74%
	"2008"	"2008"	"South Dakota"	"46"	16	0.00%	2.00	799124	14	15	93.33%	7	100.00%	100.00%
	"2008"	"2008"	"Tennessee"	"47"	282	0.08%	4.51	6247411	216	242	89.26%	195	99.49%	99.49%
	"2008"	"2008"	"Texas"	"48"	1500	0.45%	6.17	24309039	1035	1297	79.80%	1176	96.77%	96.85%
	"2008"	"2008"	"Utah"	"49"	27	0.01%	1.01	2663029	22	23	95.65%	23	100.00%	100.00%
	"2008"	"2008"	"Vermont"	"50"	6	0.00%	0.96	624151	3	4	75.00%	4	75.00%	75.00%
	"2008"	"2008"	"Virginia"	"51"	292	0.09%	3.73	7833496	220	261	84.29%	227	93.83%	93.83%
	"2008"	"2008"	"Washington"	"53"	228	0.07%	3.47	6562231	168	178	94.38%	188	98.40%	98.40%
	"2008"	"2008"	"West Virginia"	"54"	28	0.01%	1.52	1840310	21	22	95.45%	25	96.00%	96.00%
	"2008"	"2008"	"Wisconsin"	"55"	68	0.02%	1.21	5640996	42	57	73.68%	60	100.00%	100.00%
	"2008"	"2008"	"Wyoming"	"56"	5	0.00%	0.92	546043	3	4	75.00%	3	100.00%	100.00%
"Total"	"2008"	"2008"			12893	3.88%	4.24	304093966	9474	11016	86.00%	10022	97.89%	98.07%
	"2007"	"2007"	"Alabama"	"01"	176	0.05%	3.77	4672840	131	143	91.61%	146	97.26%	99.32%
	"2007"	"2007"	"Alaska"	"02"	50	0.02%	7.35	680300	38	42	90.48%	44	100.00%	100.00%
	"2007"	"2007"	"Arizona"	"04"	302	0.09%	4.90	6167681	167	235	71.06%	222	98.20%	98.20%
	"2007"	"2007"	"Arkansas"	"05"	106	0.03%	3.72	2848650	87	94	92.55%	70	98.57%	98.57%
	"2007"	"2007"	"California"	"06"	2725	0.82%	7.52	36250311	1896	2345	80.85%	2192	98.31%	98.31%
	"2007"	"2007"	"Colorado"	"08"	111	0.03%	2.31	4803868	84	86	97.67%	74	100.00%	100.00%
	"2007"	"2007"	"Connecticut"	"09"	108	0.03%	3.06	3527270	78	96	81.25%	94	100.00%	100.00%
	"2007"	"2007"	"Delaware"	"10"	19	0.01%	2.18	871749	17	18	94.44%	13	100.00%	100.00%
	"2007"	"2007"	"District of Columbia"	"11"	59	0.02%	10.27	574404	35	48	72.92%	47	100.00%	100.00%
	"2007"	"2007"	"Florida"	"12"	988	0.30%	5.38	18367842	791	879	89.99%	811	95.93%	95.93%
	"2007"	"2007"	"Georgia"	"13"	477	0.14%	5.10	9349988	356	417	85.37%	374	97.06%	97.86%
	"2007"	"2007"	"Hawaii"	"15"	122	0.04%	9.27	1315675	83	107	77.57%	98	98.98%	98.98%
	"2007"	"2007"	"Idaho"	"16"	9	0.00%	0.60	1505105	6	8	75.00%	7	100.00%	100.00%
	"2007"	"2007"	"Illinois"	"17"	520	0.16%	4.10	12695866	374	437	85.58%	406	96.80%	97.04%
	"2007"	"2007"	"Indiana"	"18"	128	0.04%	2.01	6379599	103	115	89.57%	106	100.00%	100.00%
	"2007"	"2007"	"Iowa"	"19"	43	0.01%	1.43	2999212	31	35	88.57%	33	100.00%	100.00%
	"2007"	"2007"	"Kansas"	"20"	59	0.02%	2.12	2783785	43	50	86.00%	46	97.83%	97.83%
	"2007"	"2007"	"Kentucky"	"21"	120	0.04%	2.82	4256672	96	107	89.72%	102	95.10%	95.10%
	"2007"	"2007"	"Louisiana"	"22"	217	0.07%	4.96	4375581	153	192	79.69%	175	97.14%	97.14%
	"2007"	"2007"	"Maine"	"23"	19	0.01%	1.43	1327040	16	17	94.12%	16	100.00%	100.00%
	"2007"	"2007"	"Maryland"	"24"	271	0.08%	4.79	5653408	213	233	91.42%	215	100.00%	100.00%
	"2007"	"2007"	"Massachusetts"	"25"	224	0.07%	3.48	6431559	162	198	81.82%	161	99.38%	99.38%
	"2007"	"2007"	"Michigan"	"26"	226	0.07%	2.26	10001284	147	181	81.22%	176	98.30%	98.30%
	"2007"	"2007"	"Minnesota"	"27"	238	0.07%	4.57	5207203	190	208	91.35%	176	100.00%	100.00%
	"2007"	"2007"	"Mississippi"	"28"	137	0.04%	4.68	2928350	112	116	96.55%	96	100.00%	100.00%
	"2007"	"2007"	"Missouri"	"29"	118	0.04%	2.00	5887612	81	103	78.64%	99	98.99%	98.99%
	"2007"	"2007"	"Montana"	"30"	11	0.00%	1.14	964706	9	9	100.00%	9	100.00%	100.00%
	"2007"	"2007"	"Nebraska"	"31"	25	0.01%	1.40	1783440	21	23	91.30%	21	100.00%	100.00%
	"2007"	"2007"	"Nevada"	"32"	102	0.03%	3.92	2601072	68	79	86.08%	84	97.62%	97.62%
	"2007"	"2007"	"New Hampshire"	"33"	11	0.00%	0.84	1312540	8	9	88.89%	9	100.00%	100.00%
	"2007"	"2007"	"New Jersey"	"34"	467	0.14%	5.38	8677885	338	385	87.79%	370	99.46%	99.46%
	"2007"	"2007"	"New Mexico"	"35"	51	0.02%	2.56	1990070	38	41	92.68%	44	100.00%	100.00%
	"2007"	"2007"	"New York"	"36"	1169	0.35%	6.11	19132335	891	988	90.18%	897	99.00%	99.11%
	"2007"	"2007"	"North Carolina"	"37"	345	0.10%	3.78	9118037	280	304	92.11%	274	99.64%	100.00%
	"2007"	"2007"	"North Dakota"	"38"	7	0.00%	1.07	652822	3	3	100.00%	4	100.00%	100.00%
	"2007"	"2007"	"Ohio"	"39"	251	0.08%	2.18	11500468	185	209	88.52%	197	98.48%	98.48%
	"2007"	"2007"	"Oklahoma"	"40"	149	0.04%	4.10	3634349	106	130	81.54%	91	94.51%	94.51%
	"2007"	"2007"	"Oregon"	"41"	94	0.03%	2.53	3722417	78	86	90.70%	79	100.00%	100.00%
	"2007"	"2007"	"Pennsylvania"	"42"	275	0.08%	2.19	12563937	206	241	85.48%	211	98.10%	98.10%
	"2007"	"2007"	"Rhode Island"	"44"	45	0.01%	4.26	1057315	34	37	91.89%	16	100.00%	100.00%
	"2007"	"2007"	"South Carolina"	"45"	218	0.07%	4.91	4444110	165	185	89.19%	178	97.75%	97.75%
	"2007"	"2007"	"South Dakota"	"46"	13	0.00%	1.64	791623	10	10	100.00%	8	100.00%	100.00%
	"2007"	"2007"	"Tennessee"	"47"	235	0.07%	3.81	6175727	174	200	87.00%	164	99.39%	99.39%
	"2007"	"2007"	"Texas"	"48"	1504	0.45%	6.31	23831983	1082	1312	82.47%	1186	97.64%	97.81%
	"2007"	"2007"	"Utah"	"49"	39	0.01%	1.50	2597746	32	34	94.12%	30	100.00%	100.00%
	"2007"	"2007"	"Vermont"	"50"	3	0.00%	0.48	623481	1	3	33.33%	3	100.00%	100.00%
	"2007"	"2007"	"Virginia"	"51"	309	0.09%	3.99	7751000	256	289	88.58%	231	95.24%	95.24%
	"2007"	"2007"	"Washington"	"53"	291	0.09%	4.50	6461587	227	253	89.72%	235	99.15%	99.15%
	"2007"	"2007"	"West Virginia"	"54"	24	0.01%	1.31	1834052	16	16	100.00%	24	100.00%	100.00%
	"2007"	"2007"	"Wisconsin"	"55"	70	0.02%	1.25	5610775	45	55	81.82%	61	95.08%	95.08%
	"2007"	"2007"	"Wyoming"	"56"	2	0.00%	0.37	534876	1	2	50.00%	1	100.00%	100.00%
"Total"	"2007"	"2007"			13282	4.00%	4.41	301231207	9764	11413	85.55%	10426	98.13%	98.24%
	"2006"	"2006"	"Alabama"	"01"	196	0.06%	4.23	4628981	143	165	86.67%	174	97.70%	97.70%
	"2006"	"2006"	"Alaska"	"02"	70	0.02%	10.37	675302	56	63	88.89%	61	100.00%	100.00%
	"2006"	"2006"	"Arizona"	"04"	313	0.09%	5.19	6029141	213	266	80.08%	228	92.11%	92.11%
	"2006"	"2006"	"Arkansas"	"05"	102	0.03%	3.61	2821761	77	86	89.53%	70	97.14%	98.57%
	"2006"	"2006"	"California"	"06"	2776	0.84%	7.71	36021202	1905	2318	82.18%	2243	98.71%	98.75%
	"2006"	"2006"	"Colorado"	"08"	124	0.04%	2.63	4720423	92	102	90.20%	86	100.00%	100.00%
	"2006"	"2006"	"Connecticut"	"09"	89	0.03%	2.53	3517460	66	75	88.00%	72	98.61%	98.61%
	"2006"	"2006"	"Delaware"	"10"	29	0.01%	3.37	859268	20	22	90.91%	23	100.00%	100.00%
	"2006"	"2006"	"District of Columbia"	"11"	72	0.02%	12.62	570681	44	63	69.84%	65	98.46%	98.46%
	"2006"	"2006"	"Florida"	"12"	1032	0.31%	5.68	18166990	813	910	89.34%	844	96.09%	96.21%
	"2006"	"2006"	"Georgia"	"13"	507	0.15%	5.54	9155813	363	437	83.07%	389	96.14%	96.40%
	"2006"	"2006"	"Hawaii"	"15"	114	0.03%	8.70	1309731	78	99	78.79%	82	100.00%	100.00%
	"2006"	"2006"	"Idaho"	"16"	20	0.01%	1.36	1468669	14	18	77.78%	19	100.00%	100.00%
	"2006"	"2006"	"Illinois"	"17"	563	0.17%	4.45	12643955	402	486	82.72%	435	94.71%	94.94%
	"2006"	"2006"	"Indiana"	"18"	124	0.04%	1.96	6332669	98	108	90.74%	96	98.96%	98.96%
	"2006"	"2006"	"Iowa"	"19"	40	0.01%	1.34	2982644	32	36	88.89%	30	100.00%	100.00%
	"2006"	"2006"	"Kansas"	"20"	82	0.02%	2.97	2762931	67	72	93.06%	64	93.75%	93.75%
	"2006"	"2006"	"Kentucky"	"21"	84	0.03%	1.99	4219239	62	74	83.78%	71	94.37%	95.77%
	"2006"	"2006"	"Louisiana"	"22"	205	0.06%	4.76	4302665	134	173	77.46%	170	92.94%	92.94%
	"2006"	"2006"	"Maine"	"23"	16	0.00%	1.21	1323619	13	13	100.00%	13	92.31%	92.31%
	"2006"	"2006"	"Maryland"	"24"	252	0.08%	4.48	5627367	193	213	90.61%	195	99.49%	99.49%
	"2006"	"2006"	"Massachusetts"	"25"	259	0.08%	4.04	6410084	199	233	85.41%	200	99.00%	99.00%
	"2006"	"2006"	"Michigan"	"26"	221	0.07%	2.20	10036081	156	195	80.00%	176	98.30%	98.30%
	"2006"	"2006"	"Minnesota"	"27"	217	0.07%	4.20	5163555	171	189	90.48%	177	100.00%	100.00%
	"2006"	"2006"	"Mississippi"	"28"	115	0.03%	3.96	2904978	83	96	86.46%	88	98.86%	100.00%
	"2006"	"2006"	"Missouri"	"29"	104	0.03%	1.78	5842704	71	91	78.02%	82	98.78%	98.78%
	"2006"	"2006"	"Montana"	"30"	13	0.00%	1.36	952692	9	10	90.00%	11	100.00%	100.00%
	"2006"	"2006"	"Nebraska"	"31"	25	0.01%	1.41	1772693	22	22	100.00%	19	100.00%	100.00%
	"2006"	"2006"	"Nevada"	"32"	101	0.03%	4.00	2522658	71	78	91.03%	87	98.85%	98.85%
	"2006"	"2006"	"New Hampshire"	"33"	17	0.01%	1.30	1308389	14	15	93.33%	12	100.00%	100.00%
	"2006"	"2006"	"New Jersey"	"34"	508	0.15%	5.86	8661679	380	438	86.76%	387	96.64%	96.64%
	"2006"	"2006"	"New Mexico"	"35"	48	0.01%	2.45	1962137	29	33	87.88%	44	95.45%	95.45%
	"2006"	"2006"	"New York"	"36"	1263	0.38%	6.61	19104631	897	1054	85.10%	944	98.41%	98.41%
	"2006"	"2006"	"North Carolina"	"37"	374	0.11%	4.19	8917270	293	330	88.79%	302	98.68%	98.68%
	"2006"	"2006"	"North Dakota"	"38"	10	0.00%	1.54	649422	6	8	75.00%	7	100.00%	100.00%
	"2006"	"2006"	"Ohio"	"39"	239	0.07%	2.08	11481213	164	198	82.83%	183	95.63%	96.17%
	"2006"	"2006"	"Oklahoma"	"40"	144	0.04%	4.01	3594090	104	129	80.62%	75	96.00%	96.00%
	"2006"	"2006"	"Oregon"	"41"	81	0.02%	2.21	3670883	64	70	91.43%	73	98.63%	98.63%
	"2006"	"2006"	"Pennsylvania"	"42"	337	0.10%	2.69	12510809	235	274	85.77%	240	93.75%	93.75%
	"2006"	"2006"	"Rhode Island"	"44"	26	0.01%	2.45	1063096	19	24	79.17%	13	100.00%	100.00%
	"2006"	"2006"	"South Carolina"	"45"	222	0.07%	5.09	4357847	164	188	87.23%	173	97.69%	97.69%
	"2006"	"2006"	"South Dakota"	"46"	14	0.00%	1.79	783033	6	11	54.55%	11	100.00%	100.00%
	"2006"	"2006"	"Tennessee"	"47"	277	0.08%	4.55	6088766	205	226	90.71%	206	98.06%	98.06%
	"2006"	"2006"	"Texas"	"48"	1566	0.47%	6.70	23359580	1104	1320	83.64%	1203	98.59%	98.75%
	"2006"	"2006"	"Utah"	"49"	34	0.01%	1.35	2525507	27	31	87.10%	22	100.00%	100.00%
	"2006"	"2006"	"Vermont"	"50"	8	0.00%	1.28	622892	5	6	83.33%	8	100.00%	100.00%
	"2006"	"2006"	"Virginia"	"51"	332	0.10%	4.33	7673725	240	282	85.11%	267	92.13%	92.13%
	"2006"	"2006"	"Washington"	"53"	262	0.08%	4.11	6370753	182	217	83.87%	216	98.15%	98.15%
	"2006"	"2006"	"West Virginia"	"54"	22	0.01%	1.20	1827912	14	17	82.35%	22	95.45%	95.45%
	"2006"	"2006"	"Wisconsin"	"55"	74	0.02%	1.33	5577655	54	61	88.52%	63	100.00%	100.00%
	"2006"	"2006"	"Wyoming"	"56"	4	0.00%	0.77	522667	3	3	100.00%	3	100.00%	100.00%
"Total"	"2006"	"2006"			13727	4.13%	4.60	298379912	9876	11648	84.79%	10744	97.50%	97.59%
	"2005"	"2005"	"Alabama"	"01"	216	0.07%	4.73	4569805	170	188	90.43%	165	96.36%	98.18%
	"2005"	"2005"	"Alaska"	"02"	59	0.02%	8.85	666946	53	57	92.98%	54	100.00%	100.00%
	"2005"	"2005"	"Arizona"	"04"	281	0.08%	4.81	5839077	201	239	84.10%	208	85.58%	85.58%
	"2005"	"2005"	"Arkansas"	"05"	117	0.04%	4.21	2781097	74	97	76.29%	72	97.22%	97.22%
	"2005"	"2005"	"California"	"06"	2900	0.87%	8.09	35827943	2014	2453	82.10%	2283	98.47%	98.55%
	"2005"	"2005"	"Colorado"	"08"	101	0.03%	2.18	4631888	77	80	96.25%	69	100.00%	100.00%
	"2005"	"2005"	"Connecticut"	"09"	96	0.03%	2.74	3506956	72	83	86.75%	81	98.77%	98.77%
	"2005"	"2005"	"Delaware"	"10"	27	0.01%	3.19	845150	21	24	87.50%	23	100.00%	100.00%
	"2005"	"2005"	"District of Columbia"	"11"	59	0.02%	10.40	567136	42	51	82.35%	51	98.04%	100.00%
	"2005"	"2005"	"Florida"	"12"	1093	0.33%	6.13	17842038	846	949	89.15%	851	96.94%	97.06%
	"2005"	"2005"	"Georgia"	"13"	505	0.15%	5.66	8925922	361	438	82.42%	399	98.75%	99.25%
	"2005"	"2005"	"Hawaii"	"15"	112	0.03%	8.66	1292729	71	95	74.74%	89	97.75%	97.75%
	"2005"	"2005"	"Idaho"	"16"	23	0.01%	1.61	1428241	16	21	76.19%	19	94.74%	94.74%
	"2005"	"2005"	"Illinois"	"17"	589	0.18%	4.67	12609903	413	504	81.94%	452	97.79%	97.79%
	"2005"	"2005"	"Indiana"	"18"	146	0.04%	2.33	6278616	118	130	90.77%	118	100.00%	100.00%
	"2005"	"2005"	"Iowa"	"19"	55	0.02%	1.86	2964454	41	46	89.13%	40	100.00%	100.00%
	"2005"	"2005"	"Kansas"	"20"	60	0.02%	2.19	2745299	49	57	85.96%	46	93.48%	93.48%
	"2005"	"2005"	"Kentucky"	"21"	124	0.04%	2.96	4182742	89	100	89.00%	111	96.40%	96.40%
	"2005"	"2005"	"Louisiana"	"22"	257	0.08%	5.62	4576628	139	217	64.06%	199	88.94%	88.94%
	"2005"	"2005"	"Maine"	"23"	17	0.01%	1.29	1318787	12	16	75.00%	10	90.00%	90.00%
	"2005"	"2005"	"Maryland"	"24"	283	0.09%	5.06	5592379	217	240	90.42%	220	100.00%	100.00%
	"2005"	"2005"	"Massachusetts"	"25"	266	0.08%	4.15	6403290	182	228	79.82%	192	98.96%	98.96%
	"2005"	"2005"	"Michigan"	"26"	245	0.07%	2.44	10051137	157	191	82.20%	200	97.50%	97.50%
	"2005"	"2005"	"Minnesota"	"27"	199	0.06%	3.89	5119598	160	171	93.57%	151	100.00%	100.00%
	"2005"	"2005"	"Mississippi"	"28"	103	0.03%	3.54	2905943	70	81	86.42%	88	95.45%	96.59%
	"2005"	"2005"	"Missouri"	"29"	108	0.03%	1.87	5790300	78	87	89.66%	89	97.75%	97.75%
	"2005"	"2005"	"Montana"	"30"	10	0.00%	1.06	940102	7	8	87.50%	9	100.00%	100.00%
	"2005"	"2005"	"Nebraska"	"31"	35	0.01%	1.99	1761497	22	29	75.86%	32	100.00%	100.00%
	"2005"	"2005"	"Nevada"	"32"	112	0.03%	4.60	2432143	83	101	82.18%	93	93.55%	94.62%
	"2005"	"2005"	"New Hampshire"	"33"	4	0.00%	0.31	1298492	3	4	75.00%	4	100.00%	100.00%
	"2005"	"2005"	"New Jersey"	"34"	485	0.15%	5.61	8651974	355	409	86.80%	387	98.19%	98.19%
	"2005"	"2005"	"New Mexico"	"35"	39	0.01%	2.02	1932274	21	25	84.00%	34	100.00%	100.00%
	"2005"	"2005"	"New York"	"36"	1283	0.39%	6.71	19132610	898	1070	83.93%	985	95.33%	95.43%
	"2005"	"2005"	"North Carolina"	"37"	329	0.10%	3.78	8705407	240	274	87.59%	271	99.26%	99.26%
